iter,current_fitness,new_fitness
0,766.55,579.85,0.9994292566399194
1,579.85,749.44,0.0011309112546254389
2,579.85,382.81,0.9996225141815815
3,382.81,552.4,0.001130911254625442
4,382.81,300.8,0.9637502604962321
5,300.8,196.09,0.9850561676549027
6,196.09,162.42,0.7936059749378892
7,162.42,261.49,0.018655180746216988
8,162.42,288.12,0.0065092532930642035
9,162.42,39.94,0.9926025868168484
10,39.94,215.63,0.0008862719927031151
11,39.94,114.98,0.04735364284073705
12,39.94,112.3,0.05243108635093155
13,39.94,144.13,0.015253128430049365
14,39.94,218.22,0.0007991199970246883
15,39.94,59,0.3181254271798465
16,39.94,172.18,0.005018465345262999
17,39.94,219.08,0.0007721185814516834
18,39.94,202.33,0.0015077920302337348
19,39.94,15.47,0.7268700452312865
20,15.47,140.59,0.006661015695209935
21,15.47,170.55,0.0020188627857813195
22,15.47,175.22,0.0016754443764743477
23,15.47,85.06,0.05821686176832514
24,15.47,143.73,0.005879422276902987
25,15.47,130.9,0.009783754916499727
26,15.47,183.1,0.0012230301395257889
27,15.47,89.13,0.049906933667488246
28,15.47,49.8,0.20210333025555888
29,15.47,0.07,0.6493082652711343
30,0.07,69.51,0.058546701036013706
31,0.07,147.49,0.0027406930417564123
32,0.07,13.91,0.3650295855015523
33,0.07,13.91,0.3650295855015523
34,0.07,104.78,0.01494383234509741
35,0.07,123.28,0.007186061688450982
36,0.07,13.91,0.3650295855015523
37,0.07,86.99,0.029979598599666066
38,0.07,77,0.044057591217664054
39,0.07,39.84,0.1692713723080679
40,0.07,175.86,0.0008827371085944016
41,0.07,49.23,0.12277608821638741
42,0.07,175.75,0.0008866262580317296
43,0.07,43.81,0.14809765682473677
44,0.07,115.36,0.00983815710492826
45,0.07,71.51,0.05428979053419601
46,0.07,157.1,0.0018676591841234745
47,0.07,175.75,0.0008866262580317296
48,0.07,82.08,0.03624973950376782
49,0.07,48.9,0.12420484977173075
50,0.07,68.72,0.06031295306550229
51,0.07,75.56,0.04654822388979754
52,0.07,13.91,0.3650295855015523
53,0.07,28.48,0.2429819383249323
54,0.07,15.47,0.3506917347288658
55,0.07,153.44,0.002161476306175194
56,0.07,123.28,0.007186061688450982
57,0.07,145.81,0.0029306385595384036
58,0.07,66.76,0.0649124938467949
59,0.07,169.66,0.0011309112546254408
60,0.07,26.48,0.2579980202208907
61,0.07,160.69,0.0016182344896227723
62,0.07,176.79,0.0008505299842581654
63,0.07,86.99,0.029979598599666066
64,0.07,25.49,0.2656511902443482
65,0.07,197.11,0.00037748581841851584
66,0.07,19.13,0.3181254271798465
67,0.07,13.91,0.3650295855015523
68,0.07,55.49,0.09825195526618635
69,0.07,58.22,0.08899242163657292
70,0.07,149.28,0.002551803118197842
71,0.07,145.81,0.0029306385595384036
72,0.07,156.96,0.0018781277169548556
73,0.07,33.22,0.20982178186118206
74,0.07,136.8,0.004196914166772516
75,0.07,55.96,0.09659883776533748
76,0.07,75.56,0.04654822388979754
77,0.07,14.46,0.35994566078029805
78,0.07,55.96,0.09659883776533748
79,0.07,125.64,0.006542967524088342
80,0.07,132.31,0.005018465345262999
81,0.07,147.17,0.0027759013843352874
82,0.07,19.13,0.3181254271798465
83,0.07,156.14,0.0019406301954181567
84,0.07,159.67,0.001685510266332935
85,0.07,58.06,0.0895126540367632
86,0.07,176.79,0.0008505299842581654
87,0.07,71.51,0.05428979053419601
88,0.07,136.39,0.004266015010028162
89,0.07,58.06,0.0895126540367632
90,0.07,90.92,0.025730773266002992
91,0.07,49.23,0.12277608821638741
92,0.07,150.01,0.00247854985295404
93,0.07,69.51,0.058546701036013706
94,0.07,173.03,0.0009884337655675591
95,0.07,34.26,0.2030078792949611
96,0.07,12.99,0.3736008046468946
97,0.07,89.33,0.027374159010743308
98,0.07,178.35,0.0007991199970246883
99,0.07,58.22,0.08899242163657292
100,0.07,152.38,0.0022548824667920193
101,0.07,169.66,0.0011309112546254408
102,0.07,68.72,0.06031295306550229
103,0.07,55.49,0.09825195526618635
104,0.07,153.44,0.002161476306175194
105,0.07,50.12,0.11899309472449664
106,0.07,86.99,0.029979598599666066
107,0.07,147.49,0.0027406930417564123
108,0.07,90.95,0.025700707939793888
109,0.07,27.95,0.246902719342932
110,0.07,155.22,0.0020132292410384176
111,0.07,13.91,0.3650295855015523
112,0.07,184,0.0006375755495296282
113,0.07,82.08,0.03624973950376782
114,0.07,125.76,0.006511840556911867
115,0.07,90.95,0.025700707939793888
116,0.07,71.51,0.05428979053419601
117,0.07,90.92,0.025730773266002992
118,0.07,48.9,0.12420484977173075
119,0.07,63.07,0.07446794516602807
120,0.07,97.91,0.019577550933161252
121,0.07,150.01,0.00247854985295404
122,0.07,145.81,0.0029306385595384036
123,0.07,28.48,0.2429819383249323
124,0.07,115.36,0.00983815710492826
125,0.07,176.79,0.0008505299842581654
126,0.07,55.96,0.09659883776533748
127,0.07,176.79,0.0008505299842581654
128,0.07,132.6,0.004960874612626852
129,0.07,138.37,0.003942460522449671
130,0.07,149.28,0.002551803118197842
131,0.07,150.01,0.00247854985295404
132,0.07,156.96,0.0018781277169548556
133,0.07,179.16,0.0007736631679668248
134,0.07,82.08,0.03624973950376782
135,0.07,145.81,0.0029306385595384036
136,0.07,125.76,0.006511840556911867
137,0.07,179.2,0.0007724272520520955
138,0.07,62.69,0.07552236650286169
139,0.07,122.54,0.0074003508385355
140,0.07,55.96,0.09659883776533748
141,0.07,63.07,0.07446794516602807
142,0.07,30.75,0.22667186691493924
143,0.07,89.33,0.027374159010743308
144,0.07,156.14,0.0019406301954181567
145,0.07,27.95,0.246902719342932
146,0.07,150.01,0.00247854985295404
147,0.07,33.75,0.20632851454410403
148,0.07,60.01,0.08335589166951571
149,0.07,58.06,0.0895126540367632
150,0.07,39.84,0.1692713723080679
151,0.07,34.26,0.2030078792949611
152,0.07,66.76,0.0649124938467949
153,0.07,192.95,0.00044579743228098
154,0.07,19.13,0.3181254271798465
155,0.07,175.86,0.0008827371085944016
156,0.07,14.46,0.35994566078029805
157,0.07,10.29,0.39919989351435475
158,0.07,175.75,0.0008866262580317296
159,0.07,147.17,0.0027759013843352874
160,0.07,90.92,0.025730773266002992
161,0.07,179.2,0.0007724272520520955
162,0.07,97.91,0.019577550933161252
163,0.07,192.95,0.00044579743228098
164,0.07,66.76,0.0649124938467949
165,0.07,89.33,0.027374159010743308
166,0.07,153.44,0.002161476306175194
167,0.07,43.81,0.14809765682473677
168,0.07,26.48,0.2579980202208907
169,0.07,39.84,0.1692713723080679
170,0.07,90.95,0.025700707939793888
171,0.07,173.03,0.0009884337655675591
172,0.07,43.81,0.14809765682473677
173,0.07,152.38,0.0022548824667920193
174,0.07,58.06,0.0895126540367632
175,0.07,184,0.0006375755495296282
176,0.07,43.81,0.14809765682473677
177,0.07,104.78,0.01494383234509741
178,0.07,14.46,0.35994566078029805
179,0.07,19.13,0.3181254271798465
180,0.07,62.69,0.07552236650286169
181,0.07,123.28,0.007186061688450982
182,0.07,90.92,0.025730773266002992
183,0.07,55.96,0.09659883776533748
184,0.07,10.29,0.39919989351435475
185,0.07,51.57,0.113045830072079
186,0.07,99.14,0.018655180746217005
187,0.07,179.54,0.0007620013034049048
188,0.07,13.91,0.3650295855015523
189,0.07,155.01,0.0020301771155022646
190,0.07,160.69,0.0016182344896227723
191,0.07,34.26,0.2030078792949611
192,0.07,162.46,0.0015077920302337348
193,0.07,25.49,0.2656511902443482
194,0.07,97.91,0.019577550933161252
195,0.07,39.84,0.1692713723080679
196,0.07,163.54,0.0014441343854112987
197,0.07,55.96,0.09659883776533748
198,0.07,51.57,0.113045830072079
199,0.07,131.23,0.005238853384770119
